# video_name, transcoding time, psnr compared to original, transcode bitrate
bike_1280x720_29.mkv,0.819337129593,35.662156,258000
cat_854x480_29.mkv,0.736665964127,39.005852,806000
chicken_3840x2160_30.mkv,4.90120592117,38.744537,16807000
cricket_1280x720_30.mkv,1.44958806038,41.421071,1686000
desktop_1280x720_30.mkv,0.57831120491,30.965316,73000
funny_1920x1080_30.mkv,1.46788597107,46.142418,2906000
girl_1280x720_30.mkv,1.52589392662,41.749169,1837000
hall_1920x1080_29.mkv,2.22410488129,41.510653,4116000
holi_854x480_30.mkv,0.675738096237,36.601396,880000
house_1920x1080_30.mkv,1.93332290649,41.889267,3450000
landscape_1920x1080_29.mkv,2.21094894409,37.686434,4601000
presentation_1920x1080_25.mkv,0.760721921921,40.591506,154000
game1_1920x1080_60.mkv,3.28208899498,38.995845,4515000
game2_1280x720_30.mkv,1.33290290833,37.97288,1629000
game3_1280x720_59.mkv,2.19133591652,39.85263,3066000
