# video_name, transcoding time, psnr compared to original, transcode bitrate
bike_1280x720_29.mkv,2.41728210449,43.253833,368000
cat_854x480_29.mkv,3.03347206116,40.51266,836000
chicken_3840x2160_30.mkv,59.9697458744,43.306239,16662000
cricket_1280x720_30.mkv,5.85352778435,43.380118,1606000
desktop_1280x720_30.mkv,1.42544174194,40.825902,85000
funny_1920x1080_30.mkv,8.81825613976,48.541455,2592000
girl_1280x720_30.mkv,6.16557192802,43.023669,1858000
hall_1920x1080_29.mkv,15.8997218609,42.649895,4265000
holi_854x480_30.mkv,2.58841109276,38.314569,833000
house_1920x1080_30.mkv,13.9263737202,44.756599,3747000
landscape_1920x1080_29.mkv,16.1112809181,39.036787,4206000
presentation_1920x1080_25.mkv,2.58918690681,49.387682,237000
game1_1920x1080_60.mkv,22.4783840179,44.598552,4938000
game2_1280x720_30.mkv,5.66793322563,41.883898,1866000
game3_1280x720_59.mkv,8.08235406876,41.593086,2783000
