# video_name, transcoding time, psnr compared to original, transcode bitrate
bike_1280x720_29.mkv,8.05658817291,44.554098,343000
cat_854x480_29.mkv,14.9874558449,40.796082,826000
chicken_3840x2160_30.mkv,351.503165007,43.447969,16349000
cricket_1280x720_30.mkv,30.6537411213,43.902187,1566000
desktop_1280x720_30.mkv,4.00894474983,41.105484,82000
funny_1920x1080_30.mkv,38.3889610767,48.768093,2528000
girl_1280x720_30.mkv,25.6107389927,43.530986,1822000
hall_1920x1080_29.mkv,86.6216471195,42.810951,4224000
holi_854x480_30.mkv,11.4615149498,38.719464,822000
house_1920x1080_30.mkv,70.4939661026,45.589418,3675000
landscape_1920x1080_29.mkv,97.6042211056,39.365235,4143000
presentation_1920x1080_25.mkv,6.20471572876,51.12406,209000
game1_1920x1080_60.mkv,125.241810083,44.94429,4833000
game2_1280x720_30.mkv,29.7739691734,42.202745,1822000
game3_1280x720_59.mkv,38.6954772472,41.98013,2768000
