# video_name, transcoding time, psnr compared to original, transcode bitrate
bike_1280x720_29.mkv,2.31842899323,50.11238,855000
cat_854x480_29.mkv,4.04732584953,44.646371,2788000
chicken_3840x2160_30.mkv,81.690677166,47.260701,49082000
cricket_1280x720_30.mkv,6.72874498367,48.560219,3146000
desktop_1280x720_30.mkv,1.08739686012,55.92477,181000
funny_1920x1080_30.mkv,9.78333520889,50.940244,5143000
game_1_1920x1080_60.mkv,26.3553609848,47.403482,9611000
game_2_1280x720_30.mkv,6.78505992889,46.636957,4470000
game_3_1280x720_59.mkv,8.54499197006,44.86588,5643000
girl_1280x720_30.mkv,8.68669104576,45.630869,5417000
hall_1920x1080_29.mkv,23.7457249165,46.96884,16019000
holi_854x480_30.mkv,3.62528300285,43.445744,2862000
house_1920x1080_30.mkv,15.6788451672,47.835601,7361000
landscape_1920x1080_29.mkv,22.8607070446,45.903837,14995000
presentation_1920x1080_25.mkv,2.11979603767,56.585539,430000
